TradeDate,Open,High,Low,Close,Settlement,IntradayOpen,IntradayHigh,IntradayLow,IntradayClose
2022-01-13,757.00,757.75,741.00,745.50,746.75,753.50,754.00,741.00,745.50
2022-01-14,746.00,747.25,737.00,742.75,741.50,742.00,747.00,737.00,742.75
2022-01-18,742.25,771.50,741.25,770.00,769.00,748.25,771.50,746.50,770.00
2022-01-19,772.00,797.25,769.50,795.00,796.50,776.75,797.25,775.25,795.00
2022-01-20,794.00,802.75,783.75,789.50,790.25,792.75,799.25,783.75,789.50
2022-01-21,788.00,791.00,778.00,778.50,780.00,784.25,791.00,778.00,778.50
2022-01-24,794.00,802.50,775.75,801.50,800.50,781.50,802.50,775.75,801.50
2022-01-25,801.00,831.50,800.50,816.25,818.00,810.75,831.50,809.50,816.25
2022-01-26,817.25,817.50,787.00,792.75,795.00,803.00,805.50,787.00,792.75
2022-01-27,794.25,795.50,774.00,776.25,777.00,783.50,786.25,774.00,776.25
2022-01-28,777.25,793.50,774.75,787.25,786.25,781.50,793.50,778.00,787.25
2022-01-31,793.00,798.50,756.75,761.00,761.25,787.75,788.00,756.75,761.00
2022-02-01,762.50,776.75,760.50,769.50,769.00,766.75,776.75,765.50,769.50
2022-02-02,770.00,778.50,749.25,755.50,755.00,775.25,778.50,749.25,755.50
2022-02-03,754.00,756.50,740.00,753.00,751.75,744.00,754.00,740.00,753.00
2022-02-04,754.75,767.25,748.25,765.25,763.25,754.00,767.25,748.25,765.25
2022-02-07,776.00,776.50,760.00,770.00,768.75,771.00,773.50,760.00,770.00
2022-02-08,771.25,782.00,754.00,779.50,778.75,763.25,782.00,760.25,779.50
2022-02-09,779.50,788.25,770.50,784.50,785.00,773.75,788.25,773.50,784.50
2022-02-10,785.50,801.75,765.75,771.25,771.50,791.50,801.75,765.75,771.25
2022-02-11,770.25,806.25,764.75,798.25,797.75,780.25,806.25,776.00,798.25
2022-02-14,801.50,813.50,780.75,800.50,799.25,785.50,802.00,780.75,800.50
2022-02-15,801.25,801.75,773.00,778.25,785.75,782.00,785.25,773.00,778.25
2022-02-16,785.00,793.00,779.50,784.50,786.25,786.75,790.75,779.50,784.50
2022-02-17,786.00,805.50,781.50,803.75,804.75,793.00,805.50,792.25,803.75
2022-02-18,804.25,818.75,797.00,800.25,804.00,805.75,818.75,800.25,800.25
2022-02-22,823.75,854.00,810.75,848.50,852.50,815.50,854.00,810.75,848.50
2022-02-23,849.00,888.75,842.75,883.25,884.75,856.00,888.75,854.50,883.25
2022-02-24,891.50,934.75,885.50,932.75,934.75,934.75,934.75,910.00,932.75
2022-02-25,930.25,960.75,859.75,859.75,859.75,891.50,900.25,859.75,859.75
2022-02-28,930.25,934.75,885.50,934.75,934.00,905.25,934.75,885.50,934.75
2022-03-01,934.50,984.00,932.25,984.00,984.00,983.00,984.00,981.50,984.00
2022-03-02,1014.00,1059.00,985.25,1059.00,1059.00,1057.00,1059.00,1050.00,1059.00
2022-03-03,1071.50,1134.00,1070.00,1134.00,1116.25,1133.50,1134.00,1121.75,1134.00
2022-03-04,1191.25,1191.25,1108.50,1170.00,1175.25,1191.25,1191.25,1108.50,1170.00
2022-03-07,1225.25,1260.25,1190.25,1253.75,1294.00,1230.00,1260.25,1191.00,1253.75
2022-03-08,1363.50,1363.50,1164.00,1280.50,1286.50,1324.50,1356.75,1164.00,1280.50
2022-03-09,1284.50,1285.00,1201.50,1201.50,1201.50,1214.50,1235.75,1201.50,1201.50
2022-03-10,1151.00,1221.25,1080.00,1082.25,1087.00,1185.00,1191.75,1080.00,1082.25
2022-03-11,1082.00,1126.25,1043.25,1107.00,1106.50,1065.00,1118.25,1043.25,1107.00
2022-03-14,1126.25,1148.75,1064.00,1092.25,1096.25,1074.75,1148.75,1064.00,1092.25
2022-03-15,1106.00,1160.75,1088.25,1157.25,1154.25,1105.00,1160.75,1096.50,1157.25
2022-03-16,1157.25,1159.50,1069.25,1069.25,1069.25,1125.25,1131.50,1069.25,1069.25
2022-03-17,1051.00,1108.25,1031.75,1092.25,1098.00,1055.50,1108.25,1052.00,1092.25
2022-03-18,1095.00,1106.00,1055.75,1060.00,1063.75,1074.00,1091.50,1055.75,1060.00
2022-03-21,1075.00,1148.75,1061.75,1116.75,1119.25,1096.00,1148.75,1093.50,1116.75
2022-03-22,1119.25,1169.25,1102.25,1120.00,1118.25,1153.00,1154.50,1102.25,1120.00
2022-03-23,1119.25,1139.00,1101.00,1104.75,1105.75,1136.50,1138.75,1101.00,1104.75
2022-03-24,1105.75,1115.00,1080.50,1085.75,1085.75,1092.50,1103.00,1080.50,1085.75
2022-03-25,1089.50,1109.00,1064.75,1099.75,1102.25,1092.50,1109.00,1076.25,1099.75
2022-03-28,1092.75,1096.00,1047.00,1050.25,1057.00,1061.25,1063.50,1047.00,1050.25
2022-03-29,1047.00,1068.25,972.00,1012.50,1014.25,984.00,1026.75,972.00,1012.50
2022-03-30,1015.00,1041.75,1002.25,1030.25,1027.25,1026.25,1041.75,1025.00,1030.25
2022-03-31,1030.25,1075.00,1003.50,1008.00,1006.00,1034.00,1075.00,1003.50,1008.00
2022-04-01,1007.25,1032.75,982.50,983.25,984.50,1023.75,1032.00,982.50,983.25
2022-04-04,989.50,1014.50,984.75,1011.75,1010.25,1005.25,1014.50,997.50,1011.75
2022-04-05,1020.50,1074.00,1020.00,1049.50,1045.50,1057.25,1074.00,1033.25,1049.50
2022-04-06,1048.00,1056.50,1024.75,1042.75,1038.25,1036.50,1056.50,1031.00,1042.75
2022-04-07,1040.25,1044.50,1017.75,1021.25,1025.25,1036.00,1040.00,1017.75,1021.25
2022-04-08,1025.50,1060.00,1022.25,1056.50,1058.25,1038.75,1060.00,1035.50,1056.50
2022-04-11,1063.00,1096.50,1061.25,1088.25,1089.00,1076.25,1096.50,1067.25,1088.25
2022-04-12,1085.50,1125.00,1082.25,1110.75,1112.50,1110.25,1121.75,1095.75,1110.75
2022-04-13,1111.75,1131.75,1086.75,1122.00,1121.25,1108.25,1131.75,1095.00,1122.00
2022-04-14,1120.00,1135.25,1102.50,1104.00,1104.50,1116.00,1126.50,1102.50,1104.00
2022-04-18,1111.00,1143.00,1109.25,1128.25,1128.75,1124.50,1143.00,1124.50,1128.25
2022-04-19,1130.50,1143.50,1105.75,1105.75,1109.00,1122.75,1137.50,1105.75,1105.75
